temporada_txt,jornada_val,fecha_dt,hora_local_txt,hora_utc_txt,equipo_local_txt,equipo_visitante_txt,goles_local_val,goles_visitante_val,goles_local_primer_tiempo_val,goles_local_segundo_tiempo_val,goles_visitante_primer_tiempo_val,goles_visitante_segundo_tiempo_val,goles_total_primer_tiempo_val,goles_total_segundo_tiempo_val,goles_total_partido_val,tiros_local_val,tiros_visitante_val,tiros_a_puerta_local_val,tiros_a_puerta_visitante_val,corners_local_val,corners_visitante_val,faltas_local_val,faltas_visitante_val,amarillas_local_val,amarillas_visitante_val,rojas_local_val,rojas_visitante_val
2025-26,1,22/08/2025,20:30,18:30,Bayern Munich,RB Leipzig,6,0,3,3,0,0,3,3,6,19,12,10,1,5,5,13,13,4,1,0,0
2025-26,1,23/08/2025,15:30,13:30,Eintracht Frankfurt,Werder Bremen,4,1,2,2,0,1,2,3,5,18,10,5,5,7,1,9,9,1,3,0,0
2025-26,1,23/08/2025,15:30,13:30,Freiburg,Augsburg,1,3,0,1,3,0,3,1,4,16,14,4,5,5,5,14,18,4,5,0,0
2025-26,1,23/08/2025,15:30,13:30,Heidenheim,Wolfsburg,1,3,1,0,1,2,2,2,4,7,15,2,5,2,5,12,12,2,3,0,0
2025-26,1,23/08/2025,15:30,13:30,Bayer Leverkusen,Hoffenheim,1,2,1,0,1,1,2,1,3,7,10,2,5,6,4,9,17,0,4,0,0
2025-26,1,23/08/2025,15:30,13:30,Union Berlin,Stuttgart,2,1,2,0,0,1,2,1,3,8,21,2,6,5,11,21,13,4,4,0,0
2025-26,1,23/08/2025,18:30,16:30,St. Pauli,Borussia Dortmund,3,3,0,3,1,2,1,5,6,11,8,7,7,5,2,13,12,2,3,0,1
2025-26,1,24/08/2025,15:30,13:30,Mainz,FC Koln,0,1,0,0,0,1,0,1,1,19,12,2,2,8,3,7,9,0,2,1,0
2025-26,1,24/08/2025,17:30,15:30,Borussia Monchengladbach,Hamburger SV,0,0,0,0,0,0,0,0,0,17,7,4,2,7,6,10,10,2,1,0,0
2025-26,2,29/08/2025,20:30,18:30,Hamburger SV,St. Pauli,0,2,0,0,1,1,1,1,2,5,17,2,6,2,5,13,19,3,3,1,0
2025-26,2,30/08/2025,15:30,13:30,Hoffenheim,Eintracht Frankfurt,1,3,0,1,2,1,2,2,4,17,9,5,6,4,5,14,10,2,3,0,0
2025-26,2,30/08/2025,15:30,13:30,RB Leipzig,Heidenheim,2,0,0,2,0,0,0,2,2,19,5,5,3,4,3,7,13,2,5,0,0
2025-26,2,30/08/2025,15:30,13:30,Stuttgart,Borussia Monchengladbach,1,0,0,1,0,0,0,1,1,13,15,5,6,6,10,5,13,2,1,0,0
2025-26,2,30/08/2025,15:30,13:30,Werder Bremen,Bayer Leverkusen,3,3,1,2,2,1,3,3,6,12,10,5,4,3,7,11,10,4,3,1,0
2025-26,2,30/08/2025,18:30,16:30,Augsburg,Bayern Munich,2,3,0,2,2,1,2,3,5,10,20,3,10,7,5,14,11,3,4,0,0
2025-26,2,31/08/2025,15:30,13:30,Wolfsburg,Mainz,1,1,1,0,0,1,1,1,2,11,17,3,3,3,10,15,14,3,5,1,0
2025-26,2,31/08/2025,17:30,15:30,Borussia Dortmund,Union Berlin,3,0,1,2,0,0,1,2,3,11,12,6,3,4,6,14,7,0,0,0,0
2025-26,2,31/08/2025,19:30,17:30,FC Koln,Freiburg,4,1,1,3,0,1,1,4,5,18,12,6,2,3,5,12,9,2,1,0,0
2025-26,3,12/09/2025,20:30,18:30,Bayer Leverkusen,Eintracht Frankfurt,3,1,2,1,0,1,2,2,4,18,13,8,2,4,8,10,9,5,3,2,0
2025-26,3,13/09/2025,15:30,13:30,Freiburg,Stuttgart,3,1,0,3,1,0,1,3,4,14,7,6,2,7,1,8,13,1,1,1,0
2025-26,3,13/09/2025,15:30,13:30,Heidenheim,Borussia Dortmund,0,2,0,0,2,0,2,0,2,6,17,1,8,5,4,5,9,2,3,1,0
2025-26,3,13/09/2025,15:30,13:30,Mainz,RB Leipzig,0,1,0,0,1,0,1,0,1,13,19,2,3,3,5,12,11,1,0,0,0
2025-26,3,13/09/2025,15:30,13:30,Union Berlin,Hoffenheim,2,4,0,2,2,2,2,4,6,20,9,7,8,9,2,13,12,1,1,1,0
2025-26,3,13/09/2025,15:30,13:30,Wolfsburg,FC Koln,3,3,1,2,1,2,2,4,6,14,14,6,8,7,4,15,11,2,3,0,0
2025-26,3,13/09/2025,18:30,16:30,Bayern Munich,Hamburger SV,5,0,4,1,0,0,4,1,5,22,9,12,2,5,3,11,14,2,2,0,0
2025-26,3,14/09/2025,15:30,13:30,St. Pauli,Augsburg,2,1,1,1,1,0,2,1,3,13,10,7,5,3,1,10,12,1,4,0,0
2025-26,3,14/09/2025,17:30,15:30,Borussia Monchengladbach,Werder Bremen,0,4,0,0,2,2,2,2,4,19,12,3,7,9,4,12,9,1,0,0,0
2025-26,4,19/09/2025,20:30,18:30,Stuttgart,St. Pauli,2,0,1,1,0,0,1,1,2,17,9,8,2,8,4,13,15,0,2,0,0
