temporada_txt,jornada_val,fecha_dt,hora_local_txt,hora_utc_txt,equipo_local_txt,equipo_visitante_txt,goles_local_val,goles_visitante_val,goles_local_primer_tiempo_val,goles_local_segundo_tiempo_val,goles_visitante_primer_tiempo_val,goles_visitante_segundo_tiempo_val,goles_total_primer_tiempo_val,goles_total_segundo_tiempo_val,goles_total_partido_val,tiros_local_val,tiros_visitante_val,tiros_a_puerta_local_val,tiros_a_puerta_visitante_val,corners_local_val,corners_visitante_val,faltas_local_val,faltas_visitante_val,amarillas_local_val,amarillas_visitante_val,rojas_local_val,rojas_visitante_val
Apertura 2026,1,16/07/2026,19:00,01:00,Necaxa,Atlante,2,1,0,2,0,1,0,3,3,11,12,5,3,11,5,11,16,1,2,1,0
Apertura 2026,1,16/07/2026,21:10,03:10,Tijuana,Tigres UANL,3,1,1,2,0,1,1,3,4,15,8,7,4,1,4,11,17,2,4,1,1
Apertura 2026,1,17/07/2026,21:00,03:00,FC Juarez,Puebla,0,1,0,0,1,0,1,0,1,13,13,1,5,5,7,9,22,1,1,0,1
Apertura 2026,1,17/07/2026,19:00,01:00,Atletico San Luis,Cruz Azul,2,3,0,2,0,3,0,5,5,13,20,5,10,4,4,9,10,2,1,0,1
Apertura 2026,1,17/07/2026,19:00,01:00,Leon,Atlas,2,3,1,1,1,2,2,3,5,16,9,8,7,6,2,15,10,2,2,1,1
Apertura 2026,1,18/07/2026,21:10,03:10,Queretaro,America,0,1,0,0,0,1,0,1,1,10,17,2,5,2,12,14,13,6,3,0,1
Apertura 2026,1,18/07/2026,19:07,01:07,Guadalajara,Toluca,0,2,0,0,1,1,1,1,2,13,14,4,9,9,2,14,13,2,2,1,0
Apertura 2026,1,18/07/2026,17:00,23:00,Pumas UNAM,Pachuca,0,3,0,0,2,1,2,1,3,9,15,1,6,9,4,11,5,1,0,0,0
Apertura 2026,1,18/07/2026,19:05,01:05,Monterrey,Santos Laguna,3,2,3,0,1,1,4,1,5,19,11,13,3,5,5,14,9,0,0,0,0
Apertura 2026,2,21/07/2026,19:00,01:00,Cruz Azul,Puebla,2,1,1,1,1,0,2,1,3,22,10,7,4,7,3,11,7,2,3,0,0
Apertura 2026,2,21/07/2026,21:05,03:05,Toluca,Pumas UNAM,1,2,1,0,0,2,1,2,3,17,8,4,3,9,1,4,11,1,1,0,0
Apertura 2026,2,24/07/2026,21:00,03:00,Atlante,America,1,1,0,1,1,0,1,1,2,8,20,4,8,2,9,18,14,1,3,0,1
Apertura 2026,2,24/07/2026,21:00,03:00,Tijuana,Leon,1,0,0,1,0,0,0,1,1,9,11,3,2,3,10,12,13,0,2,1,0
Apertura 2026,2,25/07/2026,17:07,23:07,Guadalajara,FC Juarez,1,0,0,1,0,0,0,1,1,22,6,8,0,19,2,11,14,1,2,0,0
Apertura 2026,2,25/07/2026,21:00,03:00,Santos Laguna,Atlas,0,1,0,0,0,1,0,1,1,11,11,1,5,5,5,11,11,2,1,0,0
Apertura 2026,2,25/07/2026,21:00,03:00,Tigres UANL,Atletico San Luis,2,2,1,1,1,1,2,2,4,17,13,2,4,9,3,15,14,2,1,0,0
Apertura 2026,2,26/07/2026,17:00,23:00,Necaxa,Monterrey,2,1,0,2,0,1,0,3,3,19,6,9,2,4,1,21,14,2,2,0,2
Apertura 2026,2,26/07/2026,19:06,01:06,Pachuca,Queretaro,1,2,1,0,0,2,1,2,3,13,18,2,5,1,6,15,10,2,3,0,0
Apertura 2026,3,31/07/2026,21:00,03:00,FC Juarez,Pumas UNAM,1,5,1,0,3,2,4,2,6,8,10,3,5,2,0,13,16,2,1,0,0
Apertura 2026,3,31/07/2026,19:00,01:00,Puebla,Guadalajara,1,1,1,0,0,1,1,1,2,7,24,3,8,1,7,7,12,0,0,0,0
Apertura 2026,3,31/07/2026,21:00,03:00,Atletico San Luis,Tijuana,0,0,0,0,0,0,0,0,0,14,6,2,1,5,1,6,10,1,2,0,0
Apertura 2026,3,01/08/2026,21:00,03:00,Cruz Azul,Atlante,2,3,0,2,1,2,1,4,5,18,11,9,7,7,5,10,11,2,1,0,1
Apertura 2026,3,01/08/2026,19:06,01:06,Leon,Pachuca,1,0,1,0,0,0,1,0,1,15,10,6,1,3,6,9,17,4,7,0,1
Apertura 2026,3,01/08/2026,19:05,01:05,Atlas,Monterrey,0,2,0,0,1,1,1,1,2,9,13,1,4,6,2,13,17,5,2,2,2
Apertura 2026,3,01/08/2026,17:00,23:00,Queretaro,Tigres UANL,3,2,2,1,1,1,3,2,5,15,25,6,5,6,11,19,9,6,3,1,1
Apertura 2026,3,02/08/2026,17:00,23:00,America,Santos Laguna,3,0,1,2,0,0,1,2,3,17,13,6,6,4,11,12,10,0,1,0,0
Apertura 2026,3,02/08/2026,19:05,01:05,Toluca,Necaxa,3,1,2,1,1,0,3,1,4,26,9,8,3,6,2,15,10,1,3,0,2
Apertura 2026,4,15/08/2026,17:00,23:00,Atlante,Toluca,0,0,0,0,0,0,0,0,0,14,11,5,2,8,7,9,7,2,0,0,0
Apertura 2026,4,15/08/2026,19:10,01:10,Monterrey,FC Juarez,6,1,4,2,1,0,5,2,7,28,4,10,1,10,1,11,7,0,0,0,0
Apertura 2026,4,15/08/2026,21:10,03:10,Atlas,Tigres UANL,2,1,1,1,1,0,2,1,3,8,25,3,7,2,16,15,11,2,1,1,0
Apertura 2026,4,16/08/2026,21:00,03:00,Tijuana,Cruz Azul,2,1,1,1,1,0,2,1,3,13,14,3,5,5,6,13,15,2,4,0,0
Apertura 2026,4,16/08/2026,12:00,18:00,Pumas UNAM,Queretaro,0,0,0,0,0,0,0,0,0,15,8,4,3,6,1,12,10,1,3,0,0
Apertura 2026,4,16/08/2026,17:00,23:00,America,Atletico San Luis,3,0,1,2,0,0,1,2,3,28,13,7,3,10,5,13,8,2,1,0,1
Apertura 2026,4,16/08/2026,19:10,01:10,Santos Laguna,Guadalajara,0,1,0,0,0,1,0,1,1,11,12,2,5,5,7,8,12,1,0,0,1
Apertura 2026,4,17/08/2026,21:06,03:06,Pachuca,Puebla,2,3,1,1,2,1,3,2,5,22,12,4,5,5,3,10,15,0,0,1,0
Apertura 2026,4,17/08/2026,19:00,01:00,Necaxa,Leon,1,2,0,1,1,1,1,2,3,25,16,8,7,7,3,15,14,2,1,0,1
Apertura 2026,5,21/08/2026,21:10,03:10,Queretaro,Toluca,1,2,0,1,0,2,0,3,3,18,18,3,3,7,6,15,8,3,3,0,2
Apertura 2026,5,21/08/2026,21:10,03:10,FC Juarez,America,1,2,1,0,1,1,2,1,3,10,18,3,10,5,7,15,12,5,1,0,1
Apertura 2026,5,21/08/2026,19:00,01:00,Leon,Monterrey,2,0,1,1,0,0,1,1,2,11,20,5,4,3,10,11,12,1,2,2,0
Apertura 2026,5,21/08/2026,19:00,01:00,Tigres UANL,Atlante,2,0,0,2,0,0,0,2,2,18,11,4,4,5,1,15,16,0,1,0,1
Apertura 2026,5,22/08/2026,17:07,23:07,Guadalajara,Tijuana,5,2,3,2,0,2,3,4,7,13,16,8,4,4,4,15,10,3,1,0,0
Apertura 2026,5,22/08/2026,19:00,01:00,Puebla,Santos Laguna,3,2,1,2,1,1,2,3,5,16,6,7,2,6,7,11,8,0,1,0,0
Apertura 2026,5,22/08/2026,21:00,03:00,Cruz Azul,Atlas,0,2,0,0,2,0,2,0,2,25,11,5,5,9,4,7,11,0,0,0,1
Apertura 2026,5,23/08/2026,17:00,23:00,Atletico San Luis,Pachuca,1,1,0,1,0,1,0,2,2,17,10,7,2,1,4,13,17,0,2,0,1
Apertura 2026,5,23/08/2026,19:00,01:00,Pumas UNAM,Necaxa,1,1,0,1,0,1,0,2,2,23,16,5,4,8,4,10,12,2,2,0,0
Apertura 2026,6,28/08/2026,19:00,01:00,Atlante,Leon,1,1,0,1,0,1,0,2,2,17,12,4,5,3,3,19,10,2,1,0,1
Apertura 2026,6,28/08/2026,19:00,01:00,Necaxa,Cruz Azul,1,3,0,1,1,2,1,3,4,13,22,4,8,7,7,15,14,5,2,0,0
Apertura 2026,6,28/08/2026,21:10,03:10,Tijuana,Pumas UNAM,2,0,0,2,0,0,0,2,2,11,10,3,3,3,6,12,10,1,1,2,1
Apertura 2026,6,29/08/2026,19:05,01:05,America,Puebla,2,0,1,1,0,0,1,1,2,20,23,6,6,3,8,10,8,0,1,0,0
Apertura 2026,6,29/08/2026,21:10,03:10,Santos Laguna,Tigres UANL,0,0,0,0,0,0,0,0,0,20,15,4,2,12,3,7,11,4,1,0,1
