temporada_txt,jornada_val,fecha_dt,hora_local_txt,hora_utc_txt,equipo_local_txt,equipo_visitante_txt,goles_local_val,goles_visitante_val,goles_local_primer_tiempo_val,goles_local_segundo_tiempo_val,goles_visitante_primer_tiempo_val,goles_visitante_segundo_tiempo_val,goles_total_primer_tiempo_val,goles_total_segundo_tiempo_val,goles_total_partido_val,tiros_local_val,tiros_visitante_val,tiros_a_puerta_local_val,tiros_a_puerta_visitante_val,corners_local_val,corners_visitante_val,faltas_local_val,faltas_visitante_val,amarillas_local_val,amarillas_visitante_val,rojas_local_val,rojas_visitante_val
2025-26,1,15/08/2025,20:45,18:45,Rennes,Marseille,1,0,0,1,0,0,0,1,1,12,24,5,2,1,12,8,11,2,3,1,0
2025-26,1,16/08/2025,17:00,15:00,Lens,Lyon,0,1,0,0,1,0,1,0,1,18,11,5,3,13,8,13,20,2,3,0,0
2025-26,1,16/08/2025,19:00,17:00,Monaco,Le Havre,3,1,1,2,0,1,1,3,4,13,9,3,4,5,4,5,14,0,1,0,0
2025-26,1,16/08/2025,21:05,19:05,Nice,Toulouse,0,1,0,0,0,1,0,1,1,13,10,2,2,9,4,12,13,2,3,0,0
2025-26,1,17/08/2025,15:00,13:00,Brest,Lille,3,3,1,2,2,1,3,3,6,18,10,5,6,2,2,11,13,2,1,0,0
2025-26,1,17/08/2025,17:15,15:15,Angers,Paris FC,1,0,1,0,0,0,1,0,1,8,17,2,7,3,7,14,10,2,1,1,0
2025-26,1,17/08/2025,17:15,15:15,Auxerre,Lorient,1,0,0,1,0,0,0,1,1,7,14,3,3,4,5,18,14,3,2,0,0
2025-26,1,17/08/2025,17:15,15:15,Metz,Strasbourg,0,1,0,0,0,1,0,1,1,2,9,0,4,3,3,16,13,2,2,0,0
2025-26,1,17/08/2025,20:45,18:45,Nantes,Paris Saint-Germain,0,1,0,0,0,1,0,1,1,6,18,0,4,2,7,6,6,1,1,0,0
2025-26,2,22/08/2025,20:45,18:45,Paris Saint-Germain,Angers,1,0,0,1,0,0,0,1,1,21,3,4,0,12,0,3,9,0,0,0,0
2025-26,2,23/08/2025,17:00,15:00,Marseille,Paris FC,5,2,2,3,1,1,3,4,7,12,8,7,4,5,2,9,12,1,0,0,0
2025-26,2,23/08/2025,19:00,17:00,Nice,Auxerre,3,1,2,1,1,0,3,1,4,16,12,6,8,5,4,10,15,2,2,0,1
2025-26,2,23/08/2025,21:05,19:05,Lyon,Metz,3,0,2,1,0,0,2,1,3,13,11,8,2,4,3,13,15,0,2,0,0
2025-26,2,24/08/2025,15:00,13:00,Lorient,Rennes,4,0,1,3,0,0,1,3,4,22,5,7,1,3,2,18,7,6,0,0,2
2025-26,2,24/08/2025,17:15,15:15,Le Havre,Lens,1,2,1,0,2,0,3,0,3,18,6,6,3,7,0,17,16,3,1,0,0
2025-26,2,24/08/2025,17:15,15:15,Strasbourg,Nantes,1,0,0,1,0,0,0,1,1,15,9,4,2,7,6,11,9,2,2,0,0
2025-26,2,24/08/2025,17:15,15:15,Toulouse,Brest,2,0,0,2,0,0,0,2,2,6,16,3,2,3,9,14,10,0,1,0,0
2025-26,2,24/08/2025,20:45,18:45,Lille,Monaco,1,0,0,1,0,0,0,1,1,18,6,1,1,8,3,7,14,1,2,0,0
2025-26,3,29/08/2025,20:45,18:45,Lens,Brest,3,1,0,3,1,0,1,3,4,30,9,10,2,15,1,7,12,1,3,0,1
2025-26,3,30/08/2025,17:00,15:00,Lorient,Lille,1,7,0,1,0,7,0,8,8,6,20,2,11,3,8,14,18,3,3,0,0
2025-26,3,30/08/2025,19:00,17:00,Nantes,Auxerre,1,0,1,0,0,0,1,0,1,4,14,3,4,3,9,13,11,1,3,0,0
2025-26,3,30/08/2025,21:05,19:05,Toulouse,Paris Saint-Germain,3,6,1,2,4,2,5,4,9,14,13,6,8,5,7,7,11,1,0,0,0
2025-26,3,31/08/2025,15:00,13:00,Angers,Rennes,1,1,0,1,1,0,1,1,2,10,15,7,7,1,7,9,11,2,2,0,0
2025-26,3,31/08/2025,17:15,15:15,Le Havre,Nice,3,1,1,2,0,1,1,3,4,12,7,8,3,0,5,13,16,1,4,0,0
2025-26,3,31/08/2025,17:15,15:15,Monaco,Strasbourg,3,2,1,2,0,2,1,4,5,12,12,4,4,6,5,13,12,2,1,0,1
2025-26,3,31/08/2025,17:15,15:15,Paris FC,Metz,3,2,1,2,1,1,2,3,5,24,14,9,2,14,6,4,8,1,1,0,1
2025-26,3,31/08/2025,20:45,18:45,Lyon,Marseille,1,0,0,1,0,0,0,1,1,17,5,5,2,9,4,16,11,2,2,0,1
2025-26,4,12/09/2025,20:45,18:45,Marseille,Lorient,4,0,3,1,0,0,3,1,4,15,4,8,1,10,0,18,5,3,2,0,1
2025-26,4,13/09/2025,17:00,15:00,Nice,Nantes,1,0,0,1,0,0,0,1,1,19,14,8,3,7,4,16,13,2,0,0,0
2025-26,4,13/09/2025,21:05,19:05,Auxerre,Monaco,1,2,0,1,1,1,1,2,3,9,13,2,3,5,8,12,19,3,6,1,0
2025-26,4,14/09/2025,15:00,13:00,Lille,Toulouse,2,1,0,2,0,1,0,3,3,20,9,5,4,7,6,12,10,2,3,0,1
2025-26,4,14/09/2025,17:15,15:15,Brest,Paris FC,1,2,0,1,2,0,2,1,3,23,7,8,4,6,1,11,10,0,2,0,1
2025-26,4,14/09/2025,17:15,15:15,Metz,Angers,1,1,1,0,0,1,1,1,2,9,11,5,4,4,3,10,7,0,1,0,0
2025-26,4,14/09/2025,17:15,15:15,Paris Saint-Germain,Lens,2,0,1,1,0,0,1,1,2,14,11,6,3,4,3,10,8,1,2,0,0
2025-26,4,14/09/2025,17:15,15:15,Strasbourg,Le Havre,1,0,0,1,0,0,0,1,1,9,10,7,1,4,3,8,16,2,2,1,0
2025-26,4,14/09/2025,20:45,18:45,Rennes,Lyon,3,1,0,3,1,0,1,3,4,23,8,5,5,5,4,18,13,2,2,0,1
2025-26,5,19/09/2025,20:45,18:45,Lyon,Angers,1,0,0,1,0,0,0,1,1,16,10,5,2,7,4,16,10,2,2,0,0
2025-26,5,20/09/2025,17:00,15:00,Nantes,Rennes,2,2,0,2,2,0,2,2,4,16,8,4,4,4,4,14,18,3,1,0,0
2025-26,5,20/09/2025,19:00,17:00,Brest,Nice,4,1,2,2,1,0,3,2,5,11,21,5,4,2,7,17,11,1,3,0,0
2025-26,5,20/09/2025,21:05,19:05,Lens,Lille,3,0,2,1,0,0,2,1,3,15,17,6,3,4,10,17,11,1,3,0,0
2025-26,5,21/09/2025,15:00,13:00,Paris FC,Strasbourg,2,3,0,2,1,2,1,4,5,18,8,6,4,4,2,11,10,1,5,0,0
2025-26,5,21/09/2025,17:15,15:15,Auxerre,Toulouse,1,0,1,0,0,0,1,0,1,6,13,1,3,3,4,12,20,1,6,1,0
2025-26,5,21/09/2025,17:15,15:15,Le Havre,Lorient,1,1,0,1,1,0,1,1,2,13,8,2,4,6,2,20,15,3,6,0,0
2025-26,5,21/09/2025,17:15,15:15,Monaco,Metz,5,2,1,4,1,1,2,5,7,16,8,6,3,4,5,15,6,1,0,0,0
2025-26,5,22/09/2025,23:00,21:00,Marseille,Paris Saint-Germain,1,0,1,0,0,0,1,0,1,9,12,2,5,5,3,16,7,3,0,0,0
2025-26,6,26/09/2025,20:45,18:45,Strasbourg,Marseille,1,2,0,1,0,2,0,3,3,9,16,1,9,5,4,13,15,2,4,0,0
2025-26,6,27/09/2025,17:00,15:00,Lorient,Monaco,3,1,1,2,0,1,1,3,4,19,5,8,2,2,4,10,11,2,3,0,1
2025-26,6,27/09/2025,19:00,17:00,Toulouse,Nantes,2,2,0,2,1,1,1,3,4,20,12,7,2,1,4,18,12,2,3,0,0
2025-26,6,27/09/2025,21:05,19:05,Paris Saint-Germain,Auxerre,2,0,1,1,0,0,1,1,2,15,12,8,3,5,5,17,10,1,2,0,0
2025-26,6,28/09/2025,15:00,13:00,Nice,Paris FC,1,1,1,0,0,1,1,1,2,11,13,5,3,5,5,14,14,1,1,0,0
2025-26,6,28/09/2025,17:15,15:15,Angers,Brest,0,2,0,0,2,0,2,0,2,11,7,2,3,11,4,13,13,1,1,0,0
2025-26,6,28/09/2025,17:15,15:15,Lille,Lyon,0,1,0,0,1,0,1,0,1,14,5,3,2,3,4,20,24,4,4,1,0
2025-26,6,28/09/2025,17:15,15:15,Metz,Le Havre,0,0,0,0,0,0,0,0,0,7,11,0,2,4,6,16,16,2,2,0,0
2025-26,6,28/09/2025,20:45,18:45,Rennes,Lens,0,0,0,0,0,0,0,0,0,14,13,2,2,8,4,16,9,3,2,0,1
2025-26,7,03/10/2025,20:45,18:45,Paris FC,Lorient,2,0,2,0,0,0,2,0,2,10,8,2,3,1,5,19,10,0,2,0,0
2025-26,7,04/10/2025,17:00,15:00,Metz,Marseille,0,3,0,0,0,3,0,3,3,4,21,1,9,4,4,8,7,0,0,0,0
2025-26,7,04/10/2025,19:00,17:00,Brest,Nantes,0,0,0,0,0,0,0,0,0,17,6,5,0,12,3,11,12,2,1,0,0
2025-26,7,04/10/2025,21:05,19:05,Auxerre,Lens,1,2,0,1,1,1,1,2,3,18,7,2,4,2,2,10,21,3,7,0,1
2025-26,7,05/10/2025,15:00,13:00,Lyon,Toulouse,1,2,1,0,0,2,1,2,3,13,14,3,4,8,5,13,17,1,3,0,0
2025-26,7,05/10/2025,17:15,15:15,Le Havre,Rennes,2,2,1,1,2,0,3,1,4,10,9,2,3,3,4,13,9,1,2,0,0
2025-26,7,05/10/2025,17:15,15:15,Monaco,Nice,2,2,1,1,2,0,3,1,4,20,9,6,2,6,7,10,9,1,3,0,1
2025-26,7,05/10/2025,17:15,15:15,Strasbourg,Angers,5,0,1,4,0,0,1,4,5,18,5,12,1,2,5,12,11,2,2,0,0
2025-26,7,05/10/2025,20:45,18:45,Lille,Paris Saint-Germain,1,1,0,1,0,1,0,2,2,9,17,3,5,3,5,11,12,1,1,0,0
2025-26,8,17/10/2025,20:45,18:45,Paris Saint-Germain,Strasbourg,3,3,1,2,2,1,3,3,6,21,12,9,7,4,1,12,15,2,1,0,0
2025-26,8,18/10/2025,17:00,15:00,Nice,Lyon,3,2,2,1,1,1,3,2,5,5,29,4,7,1,16,10,11,1,2,0,0
2025-26,8,18/10/2025,19:00,17:00,Angers,Monaco,1,1,0,1,0,1,0,2,2,16,11,3,4,10,3,15,14,2,2,0,0
2025-26,8,18/10/2025,21:05,19:05,Marseille,Le Havre,6,2,1,5,1,1,2,6,8,18,8,11,3,2,1,17,13,2,1,0,1
2025-26,8,19/10/2025,15:00,13:00,Lens,Paris FC,2,1,1,1,1,0,2,1,3,11,9,3,3,11,3,11,8,2,2,0,0
2025-26,8,19/10/2025,17:15,15:15,Lorient,Brest,3,3,1,2,2,1,3,3,6,12,8,7,4,5,2,13,16,3,2,0,0
2025-26,8,19/10/2025,17:15,15:15,Rennes,Auxerre,2,2,1,1,1,1,2,2,4,19,7,7,4,6,2,11,15,1,3,0,0
2025-26,8,19/10/2025,17:15,15:15,Toulouse,Metz,4,0,2,2,0,0,2,2,4,16,2,7,2,5,1,14,11,2,1,0,1
2025-26,8,19/10/2025,20:45,18:45,Nantes,Lille,0,2,0,0,1,1,1,1,2,8,23,3,5,5,9,12,15,1,4,0,0
2025-26,9,24/10/2025,20:45,18:45,Paris FC,Nantes,1,2,1,0,2,0,3,0,3,14,11,3,3,8,2,10,13,3,2,0,0
2025-26,9,25/10/2025,17:00,15:00,Brest,Paris Saint-Germain,0,3,0,0,2,1,2,1,3,8,18,2,8,2,7,10,10,1,1,0,0
2025-26,9,25/10/2025,19:00,17:00,Monaco,Toulouse,1,0,1,0,0,0,1,0,1,14,10,5,2,2,5,15,18,3,4,0,0
2025-26,9,25/10/2025,21:05,19:05,Lens,Marseille,2,1,1,1,1,0,2,1,3,8,17,5,3,4,8,12,9,3,2,0,0
2025-26,9,26/10/2025,15:00,14:00,Lille,Metz,6,1,2,4,0,1,2,5,7,23,10,12,4,7,8,18,12,3,2,0,0
2025-26,9,26/10/2025,17:15,16:15,Angers,Lorient,2,0,1,1,0,0,1,1,2,7,23,4,4,1,6,14,6,1,0,0,0
2025-26,9,26/10/2025,17:15,16:15,Auxerre,Le Havre,0,1,0,0,0,1,0,1,1,14,9,3,4,13,5,21,12,2,2,0,0
2025-26,9,26/10/2025,17:15,16:15,Rennes,Nice,1,2,0,1,2,0,2,1,3,19,8,7,3,7,3,13,22,5,2,0,0
2025-26,9,26/10/2025,20:45,19:45,Lyon,Strasbourg,2,1,1,1,1,0,2,1,3,8,7,3,2,4,2,15,19,0,4,0,1
2025-26,10,29/10/2025,19:00,18:00,Le Havre,Brest,1,0,0,1,0,0,0,1,1,13,8,3,2,5,1,12,11,1,3,0,0
2025-26,10,29/10/2025,19:00,18:00,Lorient,Paris Saint-Germain,1,1,0,1,0,1,0,2,2,5,15,2,8,0,8,5,13,0,2,0,0
2025-26,10,29/10/2025,19:00,18:00,Metz,Lens,2,0,0,2,0,0,0,2,2,16,10,7,2,2,5,15,15,3,2,1,0
2025-26,10,29/10/2025,19:00,18:00,Nice,Lille,2,0,1,1,0,0,1,1,2,8,21,4,4,2,13,11,10,3,3,0,0
2025-26,10,29/10/2025,21:05,20:05,Marseille,Angers,2,2,0,2,1,1,1,3,4,11,12,6,6,1,5,11,7,2,1,0,0
2025-26,10,29/10/2025,21:05,20:05,Nantes,Monaco,3,5,2,1,2,3,4,4,8,18,19,5,9,1,3,13,17,3,5,0,0
2025-26,10,29/10/2025,21:05,20:05,Paris FC,Lyon,3,3,0,3,1,2,1,5,6,11,7,3,4,4,2,18,16,6,2,1,1
2025-26,10,29/10/2025,21:05,20:05,Strasbourg,Auxerre,3,0,0,3,0,0,0,3,3,18,6,9,1,4,3,11,16,1,1,0,0
2025-26,10,29/10/2025,21:05,20:05,Toulouse,Rennes,2,2,0,2,0,2,0,4,4,15,11,4,5,5,8,9,12,2,3,0,0
2025-26,11,01/11/2025,17:00,16:00,Paris Saint-Germain,Nice,1,0,0,1,0,0,0,1,1,28,5,8,2,11,1,12,5,3,1,0,0
2025-26,11,01/11/2025,19:00,18:00,Monaco,Paris FC,0,1,0,0,0,1,0,1,1,10,9,1,1,3,2,10,12,3,2,0,0
2025-26,11,01/11/2025,21:05,20:05,Auxerre,Marseille,0,1,0,0,1,0,1,0,1,9,6,4,2,3,3,12,14,3,4,1,1
2025-26,11,02/11/2025,15:00,14:00,Rennes,Strasbourg,4,1,2,2,0,1,2,3,5,13,20,6,2,6,5,15,9,1,1,0,0
2025-26,11,02/11/2025,17:15,16:15,Lens,Lorient,3,0,1,2,0,0,1,2,3,9,12,6,3,7,6,8,10,2,2,0,0
2025-26,11,02/11/2025,17:15,16:15,Lille,Angers,1,0,1,0,0,0,1,0,1,15,6,4,1,9,2,10,10,1,0,0,0
2025-26,11,02/11/2025,17:15,16:15,Nantes,Metz,0,2,0,0,0,2,0,2,2,16,14,4,7,8,5,8,8,1,3,0,0
2025-26,11,02/11/2025,17:15,16:15,Toulouse,Le Havre,0,0,0,0,0,0,0,0,0,18,9,2,3,10,2,12,14,1,2,0,0
2025-26,11,02/11/2025,20:45,19:45,Brest,Lyon,0,0,0,0,0,0,0,0,0,13,4,3,2,12,2,19,6,1,0,0,1
2025-26,12,07/11/2025,20:45,19:45,Paris FC,Rennes,0,1,0,0,0,1,0,1,1,19,10,4,3,8,9,9,13,4,2,0,0
2025-26,12,08/11/2025,17:00,16:00,Marseille,Brest,3,0,2,1,0,0,2,1,3,19,4,7,2,6,2,12,10,0,1,0,0
2025-26,12,08/11/2025,19:00,18:00,Le Havre,Nantes,1,1,0,1,1,0,1,1,2,17,5,4,2,8,3,15,13,3,3,0,0
2025-26,12,08/11/2025,21:05,20:05,Monaco,Lens,1,4,1,0,3,1,4,1,5,16,20,6,12,5,4,15,19,1,2,1,0
