temporada_txt,jornada_val,fecha_dt,hora_local_txt,hora_utc_txt,equipo_local_txt,equipo_visitante_txt,goles_local_val,goles_visitante_val,goles_local_primer_tiempo_val,goles_local_segundo_tiempo_val,goles_visitante_primer_tiempo_val,goles_visitante_segundo_tiempo_val,goles_total_primer_tiempo_val,goles_total_segundo_tiempo_val,goles_total_partido_val,tiros_local_val,tiros_visitante_val,tiros_a_puerta_local_val,tiros_a_puerta_visitante_val,corners_local_val,corners_visitante_val,faltas_local_val,faltas_visitante_val,amarillas_local_val,amarillas_visitante_val,rojas_local_val,rojas_visitante_val
2025-26,1,23/08/2025,18:30,16:30,Genoa,Lecce,0,0,0,0,0,0,0,0,0,5,7,2,0,3,7,16,13,2,3,0,0
2025-26,1,23/08/2025,18:30,16:30,Sassuolo,Napoli,0,2,0,0,1,1,1,1,2,7,13,2,4,1,2,17,17,3,1,1,0
2025-26,1,23/08/2025,20:45,18:45,AC Milan,Cremonese,1,2,1,0,1,1,2,1,3,24,4,6,3,9,2,10,14,1,4,0,0
2025-26,1,23/08/2025,20:45,18:45,AS Roma,Bologna,1,0,0,1,0,0,0,1,1,14,10,4,2,2,4,15,13,1,1,0,0
2025-26,1,24/08/2025,18:30,16:30,Cagliari,Fiorentina,1,1,0,1,0,1,0,2,2,14,4,6,1,3,2,18,14,4,2,0,0
2025-26,1,24/08/2025,18:30,16:30,Como,Lazio,2,0,0,2,0,0,0,2,2,19,5,6,1,6,0,15,12,2,3,0,0
2025-26,1,24/08/2025,20:45,18:45,Atalanta,Pisa,1,1,0,1,1,0,1,1,2,21,11,6,2,10,4,9,10,2,0,0,0
2025-26,1,24/08/2025,20:45,18:45,Juventus,Parma,2,0,0,2,0,0,0,2,2,25,8,8,2,6,6,9,13,1,2,1,0
2025-26,1,25/08/2025,18:30,16:30,Udinese,Hellas Verona,1,1,0,1,0,1,0,2,2,14,9,4,3,5,1,14,14,3,2,0,0
2025-26,1,25/08/2025,20:45,18:45,Inter,Torino,5,0,2,3,0,0,2,3,5,20,12,9,4,6,5,14,6,0,0,0,0
2025-26,2,29/08/2025,18:30,16:30,Cremonese,Sassuolo,3,2,2,1,0,2,2,3,5,11,9,6,6,5,4,12,17,2,2,0,0
2025-26,2,29/08/2025,20:45,18:45,Lecce,AC Milan,0,2,0,0,0,2,0,2,2,7,14,2,6,4,5,10,8,1,0,0,0
2025-26,2,30/08/2025,18:30,16:30,Bologna,Como,1,0,0,1,0,0,0,1,1,15,13,2,2,7,4,13,19,4,3,0,0
2025-26,2,30/08/2025,18:30,16:30,Parma,Atalanta,1,1,0,1,0,1,0,2,2,7,11,3,3,1,2,8,15,2,2,0,0
2025-26,2,30/08/2025,20:45,18:45,Napoli,Cagliari,1,0,0,1,0,0,0,1,1,20,10,6,1,13,0,16,12,2,1,0,0
2025-26,2,30/08/2025,20:45,18:45,Pisa,AS Roma,0,1,0,0,0,1,0,1,1,7,10,3,5,1,7,14,10,2,1,0,0
2025-26,2,31/08/2025,18:30,16:30,Genoa,Juventus,0,1,0,0,0,1,0,1,1,10,13,1,3,3,4,14,15,1,2,0,0
2025-26,2,31/08/2025,18:30,16:30,Torino,Fiorentina,0,0,0,0,0,0,0,0,0,7,16,4,4,7,3,21,13,2,2,0,0
2025-26,2,31/08/2025,20:45,18:45,Inter,Udinese,1,2,1,0,2,0,3,0,3,16,10,4,5,13,2,17,5,1,3,0,0
2025-26,2,31/08/2025,20:45,18:45,Lazio,Hellas Verona,4,0,3,1,0,0,3,1,4,22,12,6,4,8,1,8,19,0,0,0,0
2025-26,3,13/09/2025,15:00,13:00,Cagliari,Parma,2,0,1,1,0,0,1,1,2,12,17,5,5,4,5,15,18,3,1,0,0
2025-26,3,13/09/2025,18:00,16:00,Juventus,Inter,4,3,2,2,1,2,3,4,7,12,18,4,4,5,9,14,10,2,1,0,0
2025-26,3,13/09/2025,20:45,18:45,Fiorentina,Napoli,1,3,0,1,2,1,2,2,4,19,14,3,9,8,5,14,14,0,0,0,0
2025-26,3,14/09/2025,12:30,10:30,AS Roma,Torino,0,1,0,0,0,1,0,1,1,22,8,5,4,7,4,11,17,2,3,0,0
2025-26,3,14/09/2025,15:00,13:00,Atalanta,Lecce,4,1,1,3,0,1,1,4,5,19,12,8,3,8,2,12,7,0,0,0,0
2025-26,3,14/09/2025,15:00,13:00,Pisa,Udinese,0,1,0,0,1,0,1,0,1,12,13,2,3,8,6,13,15,1,2,0,0
2025-26,3,14/09/2025,18:00,16:00,Sassuolo,Lazio,1,0,0,1,0,0,0,1,1,10,13,3,3,3,7,15,11,6,3,0,0
2025-26,3,14/09/2025,20:45,18:45,AC Milan,Bologna,1,0,0,1,0,0,0,1,1,14,5,3,0,7,4,17,16,3,2,0,0
2025-26,3,15/09/2025,18:30,16:30,Hellas Verona,Cremonese,0,0,0,0,0,0,0,0,0,20,6,9,2,10,1,18,3,2,1,0,0
2025-26,3,15/09/2025,20:45,18:45,Como,Genoa,1,1,1,0,0,1,1,1,2,13,13,4,6,0,8,13,17,2,2,1,0
2025-26,4,19/09/2025,20:45,18:45,Lecce,Cagliari,1,2,1,0,1,1,2,1,3,11,15,5,6,4,7,10,19,2,3,0,0
2025-26,4,20/09/2025,15:00,13:00,Bologna,Genoa,2,1,0,2,0,1,0,3,3,14,7,6,4,8,2,12,15,1,5,0,0
2025-26,4,20/09/2025,18:00,16:00,Hellas Verona,Juventus,1,1,1,0,1,0,2,0,2,14,10,4,4,5,3,18,10,3,3,0,0
2025-26,4,20/09/2025,20:45,18:45,Udinese,AC Milan,0,3,0,0,1,2,1,2,3,10,13,4,6,1,4,9,7,2,0,0,0
2025-26,4,21/09/2025,12:30,10:30,Lazio,AS Roma,0,1,0,0,1,0,1,0,1,10,13,2,6,3,6,14,22,1,1,2,0
2025-26,4,21/09/2025,15:00,13:00,Cremonese,Parma,0,0,0,0,0,0,0,0,0,3,15,1,3,3,3,16,8,1,0,0,0
2025-26,4,21/09/2025,15:00,13:00,Torino,Atalanta,0,3,0,0,3,0,3,0,3,11,9,5,5,1,0,11,9,0,0,0,0
2025-26,4,21/09/2025,18:00,16:00,Fiorentina,Como,1,2,1,0,0,2,1,2,3,8,19,1,7,2,6,16,19,4,3,0,0
2025-26,4,21/09/2025,20:45,18:45,Inter,Sassuolo,2,1,1,1,0,1,1,2,3,20,9,6,5,7,3,15,8,2,1,0,0
2025-26,4,22/09/2025,20:45,18:45,Napoli,Pisa,3,2,1,2,0,2,1,4,5,18,15,6,6,5,3,10,18,1,2,0,0
2025-26,5,27/09/2025,15:00,13:00,Como,Cremonese,1,1,1,0,0,1,1,1,2,14,9,6,2,4,3,16,17,3,4,1,0
2025-26,5,27/09/2025,18:00,16:00,Juventus,Atalanta,1,1,0,1,1,0,1,1,2,24,12,10,2,14,5,6,7,0,3,0,1
2025-26,5,27/09/2025,20:45,18:45,Cagliari,Inter,0,2,0,0,1,1,1,1,2,6,20,0,5,4,4,13,14,0,2,0,0
2025-26,5,28/09/2025,12:30,10:30,Sassuolo,Udinese,3,1,2,1,0,1,2,2,4,11,12,5,5,1,5,5,22,0,3,0,0
2025-26,5,28/09/2025,15:00,13:00,Pisa,Fiorentina,0,0,0,0,0,0,0,0,0,11,14,1,2,4,6,15,15,0,1,0,0
2025-26,5,28/09/2025,15:00,13:00,AS Roma,Hellas Verona,2,0,1,1,0,0,1,1,2,10,12,5,3,8,1,11,19,0,4,0,0
2025-26,5,28/09/2025,18:00,16:00,Lecce,Bologna,2,2,1,1,1,1,2,2,4,12,14,4,5,3,9,13,13,4,2,0,0
2025-26,5,28/09/2025,20:45,18:45,AC Milan,Napoli,2,1,2,0,0,1,2,1,3,6,19,3,7,1,7,7,7,1,0,1,0
2025-26,5,29/09/2025,18:30,16:30,Parma,Torino,2,1,1,1,0,1,1,2,3,13,15,2,4,4,3,10,12,3,3,0,0
