liga,metrica,n_partidos,n_equipos,segundos,veredicto,motivos,rhat_max,ess_min,divergencias,bfmi_min,pct_prof_max,ppc_fuera,base,ventaja_local,sigma_ataque,sigma_defensa,rho
laliga,goles,431,23,11.9,OK,todo dentro de rango,1.0038719882496887,1600.7917032839828,0,0.8105533759306879,0.0,2,0.12581987198211683,0.3090268121399845,0.266446456769211,0.06202480315078674,-0.015625737551111737
laliga,goles_1t,431,23,10.1,OK,todo dentro de rango,1.0036561490494158,1143.1563850126963,0,0.7476747265821775,0.0,0,-0.6785245525459913,0.2691617115542939,0.303964334833659,0.09361551324092898,-0.02608755002043709
laliga,goles_2t,431,23,9.0,OK,todo dentro de rango,1.0016291411264342,1401.7296968213755,0,0.7829824705539249,0.0,0,-0.43951486353411917,0.31319971418010895,0.1551593636898161,0.07482552044159252,
laliga,tiros,431,23,11.8,OK,todo dentro de rango,1.0038333955059304,1597.8831599539103,0,0.6451386105166609,0.0,3,2.3829368693404933,0.2332076679331245,0.1682374744439838,0.1155052974865257,
laliga,tiros_a_puerta,431,23,12.3,OK,todo dentro de rango,1.0048614782828489,1416.3719335777241,0,0.6966529149221338,0.0,0,1.2973034727334385,0.2786234082100348,0.24540597079316584,0.05699125861492299,
laliga,corners,431,23,12.6,OK,todo dentro de rango,1.0034699603732036,1086.9374918880242,0,0.6707968720302623,0.0,4,1.4488847981057125,0.22293872452831448,0.17215310212277585,0.06442456016727295,
laliga,faltas,431,23,13.8,OK,todo dentro de rango,1.0042948769938862,1043.3272843660025,0,0.6608335884473011,0.0,0,2.5303179524461084,-0.024789133433681124,0.12426270578622382,0.0635782112964898,
laliga,amarillas,431,23,11.9,OK,todo dentro de rango,1.0032422048169412,1242.3181851119361,0,0.7687880601732127,0.0,1,0.828395425111335,-0.11836666978077903,0.09227855227300422,0.04184425778765494,
laliga,rojas,431,23,9.8,OK,todo dentro de rango,1.0056029234323438,1987.6448029995645,0,0.9538229576399117,0.0,0,-2.1905561996784755,0.14199789003748048,0.18381049976941624,0.1518073548764418,
premier,goles,420,23,14.8,OK,todo dentro de rango,1.005013127222003,994.8808890394174,0,0.7315654767728663,0.0,0,0.22108571875339156,0.1683896705627527,0.12352161891340964,0.10797207930592224,-0.05785413348612221
premier,goles_1t,420,23,13.3,OK,todo dentro de rango,1.0044279080494347,1085.023393877602,0,0.7833806735944256,0.0,0,-0.6780565263753098,0.29158621674437074,0.11377661373269245,0.1594991764156356,-0.0008414176066032235
premier,goles_2t,420,23,10.8,OK,todo dentro de rango,1.0046168334436596,2130.9803085395533,0,0.8967356987371548,0.0,0,-0.30333371658906255,0.06975339193206179,0.0958788572894201,0.07627998374232155,
premier,tiros,420,23,12.3,OK,todo dentro de rango,1.0049633675401988,1638.9312929942125,0,0.6763199734984832,0.0,2,2.4306244050790426,0.208469289033132,0.12685019445545276,0.11969357359086545,
premier,tiros_a_puerta,420,23,12.7,OK,todo dentro de rango,1.0041120290587882,756.8549783317188,0,0.6444287796932878,0.0,0,1.3726304704407821,0.1395870830083709,0.09300059282519207,0.10976920369617774,
premier,corners,420,23,12.2,OK,todo dentro de rango,1.0040682618288017,1380.6043356919654,0,0.5938862578321117,0.0,2,1.4845013540838594,0.1710425880092107,0.1357591019141456,0.056273429767319985,
premier,faltas,420,23,13.6,OK,todo dentro de rango,1.0072489423162319,858.1168485994225,0,0.6558906298006864,0.0,0,2.4120096789648584,-0.03100204243533608,0.034970394413732765,0.06146796682606874,
premier,amarillas,420,23,11.8,OK,todo dentro de rango,1.00348150334075,1939.822830737245,0,0.8729120969041625,0.0,2,0.7360871818899525,-0.21114378636374986,0.06408256732520377,0.061592018312473455,
premier,rojas,420,23,11.8,OK,todo dentro de rango,1.0032696444854812,2054.195633484274,0,0.9654071136308596,0.0,0,-3.0181859040838543,-0.019746658753851263,0.2352791259841323,0.2474453597522641,
seriea,goles,420,23,13.5,OK,todo dentro de rango,1.0032629177210524,1157.4716005752107,0,0.6346751930415675,0.0,1,0.18679641746135608,0.047566034750947325,0.28708975751574506,0.11946912142856739,0.04063247562963449
