fecha,usuario,accion,detalle
2026-09-12 11:27:27,erick,login,
2026-09-12 11:29:14,erick,pata,Real Madrid vs Alaves | Gana Real Madrid @ 1.9
2026-09-12 11:29:30,erick,pata,Real Madrid vs Alaves | Ambos anotan: Sí @ 1.9
2026-09-12 11:38:11,erick,login,
2026-09-12 11:39:32,erick,ia,que opinas de gana racing santander
2026-09-12 11:42:53,erick,login,
2026-09-12 11:43:21,erick,ia,que opinas de gana el real madrid
2026-09-12 11:44:55,erick,login,
2026-09-12 11:45:27,erick,login,
2026-09-12 12:06:27,erick,login,
2026-09-12 12:15:48,erick,login,
2026-09-12 12:17:52,erick,login,
2026-09-12 12:24:14,erick,login,
2026-09-12 12:25:40,erick,login,
2026-09-12 12:27:49,erick,login,
2026-09-12 12:33:55,erick,pata,Real Madrid vs Rayo Vallecano (La Liga) | Gana Real Madrid @ 1.14
2026-09-12 12:35:42,erick,pata,Real Madrid vs Rayo Vallecano (La Liga) | Real Madrid Over 0.5 @ 1.16
2026-09-12 12:36:51,erick,pata,Real Madrid vs Rayo Vallecano (La Liga) | Total Over 23.5 @ 1.14
2026-09-12 12:38:03,erick,pata,Real Madrid vs Rayo Vallecano (La Liga) | Total Over 7.5 @ 1.12
2026-09-12 12:50:31,erick,pata,Real Madrid vs Rayo Vallecano (La Liga) | Rayo Vallecano Under 2.5 @ 1.18
